parcours,num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5,equiv1,equiv2,equiv3,equiv4,equiv5
ANDROIDE,21107598,lrc,mogpl,,mapsi,mlbda,bima_en,,,algav,dlp,aagb,,
ANDROIDE,21106775,lrc,mogpl,,mapsi,complex,mlbda,,,bima,algav,pscr,,
ANDROIDE,21110846,lrc,mogpl,,complex,mapsi,algav,,,model,bima,mlbda,,
ANDROIDE,21128353,lrc,mogpl,,mapsi,complex,bima,,,algav,mlbda,aagb,,
ANDROIDE,21304236,lrc,mogpl,,aagb,mapsi,complex,,,bima,mlbda,model_en,,
ANDROIDE,21305057,lrc,mogpl,,complex,mapsi,bima,,,mlbda,algav,aagb,,
ANDROIDE,28705881,lrc,mogpl,,mapsi,complex,dlp,,,mlbda,bima,pscr,,
ANDROIDE,21106878,lrc,mogpl,,complex,mapsi,bima,,,mlbda,model,pscr,,
ANDROIDE,21113004,lrc,mogpl,,complex,mapsi,mlbda,,,qclg_qk4cs_en,signal,bima,,
ANDROIDE,21112041,lrc,mogpl,,mapsi,complex,mlbda,,,signal,aagb,qclg_qk4cs_en,,
ANDROIDE,28726582,lrc,mogpl,,complex,mapsi,mlbda,,,model,dlp,pscr,,
ANDROIDE,21400363,lrc,mogpl,,mapsi,complex,mlbda,,,dlp,aagb,bima,,
ANDROIDE,21400107,lrc,mogpl,,mapsi,complex,model,,,algav,bima,signal,,
ANDROIDE,21110736,lrc,mogpl,,mapsi,complex,mlbda,,,pscr,bima,algav,,
ANDROIDE,21400464,lrc,mogpl,,complex,mapsi,algav,bima,,dlp,pscr,,,
ANDROIDE,28605659,lrc,mogpl,,mapsi,complex,dlp,,,mlbda,bima,aagb,,
ANDROIDE,21400449,lrc,mogpl,,complex,mapsi,algav,,,bima,pscr,dlp,,
ANDROIDE,28706870,lrc,mogpl,,bima,complex,mapsi,,,model,qclg_qk4cs_en,algav,,
ANDROIDE,21411393,lrc,mogpl,,mapsi,bima,pscr,,,signal,mlbda,dlp,,
ANDROIDE,21113482,lrc,mogpl,,bima,complex,mapsi,,,model,qclg_qk4cs_en,signal,,
ANDROIDE,21238294,lrc,mogpl,,mapsi,complex,bima,,,algav,model,qclg_qk4cs_en,,
ANDROIDE,21101875,lrc,mogpl,,complex,mapsi,mlbda,,,pscr,aagb,signal,,
ANDROIDE,21104859,lrc,mogpl,,mapsi,complex,mlbda,,,pscr,aagb,model,,
ANDROIDE,21105329,lrc,mogpl,,mapsi,mlbda,algav,,,dlp,bima_en,complex,,
ANDROIDE,21112373,lrc,mogpl,,mapsi,complex,mlbda,,,pscr,aagb,bima,,
ANDROIDE,21401298,lrc,mogpl,,mapsi,bima,signal,,,mlbda,complex,pscr,,
ANDROIDE,21400122,lrc,mogpl,,mapsi,complex,aagb,,,bima,qclg_qk4cs_en,mlbda,,
ANDROIDE,21309952,,,,mlbda,mapsi,,,,bima,aagb,signal,,
ANDROIDE,21114048,lrc,mogpl,,complex,mapsi,bima,,,mlbda,signal,algav,,
ANDROIDE,3702809,lrc,mogpl,,mapsi,aagb,bima,,,mlbda,complex,qclg_qk4cs_en,,
ANDROIDE,28716151,lrc,mogpl,,mapsi,complex,mlbda,,,dlp,model,bima,,
ANDROIDE,28708160,,,,pscr,bima,mapsi,,,mlbda,aagb,signal,,
ANDROIDE,21107689,lrc,mogpl,,mapsi,complex,aagb,,,mlbda,dlp,signal,,
ANDROIDE,21108238,lrc,mogpl,,mapsi,complex,bima,,,mlbda,dlp,model,,
ANDROIDE,21107465,lrc,mogpl,,complex,mapsi,mlbda,,,bima,pscr,aagb,,
ANDROIDE,28630657,lrc,mogpl,,mapsi,complex,bima,,,aagb,mlbda,dlp,,
ANDROIDE,21400017,lrc,mogpl,,mapsi,bima,aagb,,,signal,complex,algav,,
ANDROIDE,21402861,lrc,mogpl,,mapsi,complex,bima,,,algav,mlbda,pscr,,
ANDROIDE,21113927,lrc,mogpl,,mapsi,complex,aagb,,,mlbda,dlp,signal,,
ANDROIDE,21112336,lrc,mogpl,,mapsi,mlbda,bima,,,complex,dlp,algav,,
ANDROIDE,21101825,lrc,mogpl,,complex,mapsi,bima,,,aagb,model_en,signal,,
ANDROIDE,28718491,lrc,mogpl,,mapsi,complex,mlbda,,,algav,aagb,pscr,,
ANDROIDE,3803177,,,,pscr,signal,,,,algav,dlp,mlbda,,
ANDROIDE,21110611,lrc,mogpl,,mapsi,complex,bima,,,mlbda,model,signal,,
SESI,CANDK12QHSFP,archi,vlsi,,ares,esa,mobj,,,noyau,pscr,rtel,,
ANDROIDE,28603668,lrc,mogpl,,mapsi,complex,,,,mlbda,algav,dlp,,
ANDROIDE,21318843,lrc,mogpl,,bima,mapsi,pscr,,,aagb,mlbda,signal,,
ANDROIDE,21109566,lrc,mogpl,,mapsi,complex,mlbda,,,bima,model,algav,,
ANDROIDE,21104033,lrc,mogpl,,mapsi,complex,bima,,,aagb,mlbda,model,,
ANDROIDE,28618735,,,,aagb,,,,,algav,signal,dlp,,
ANDROIDE,3702508,,,,aagb,,,,,algav,signal,dlp,,
SESI,21221825,archi,vlsi,,signal,esa,mobj,,,ares,noyau,rtel,,
ANDROIDE,28726597,lrc,mogpl,,complex,mapsi,algav,,,model,dlp,signal,,
IMA,21400117,bima,mapsi,,model_en,ppar_en,mogpl,,,mlbda,complex,signal,,
ANDROIDE,21418204,lrc,mogpl,,complex,mapsi,dlp,,,bima,model,aagb,,
BIM,233323371EB,aagb,mapsi,maths4m062,mogpl,lrc,,,,bima_en,model_en,algav,,
BIM,21402894,aagb,mapsi,maths4m062,bima_en,mlbda,,,,mogpl,model,algav,,
BIM,21402950,aagb,mapsi,maths4m062,bima_en,mogpl,,,,complex,lrc,model,,
BIM,21415959,aagb,mapsi,maths4m062,bima_en,mogpl,,,,complex,model,lrc,,
BIM,21323276,aagb,mapsi,maths4m062,bima_en,mogpl,,,,mlbda,model,algav,,
BIM,CANDGK3M7HLD,aagb,mapsi,maths4m062,bima_en,mogpl,,,,model,lrc,complex,,
BIM,21103771,aagb,mapsi,maths4m062,bima_en,mlbda,,,,model,lrc,algav,,
BIM,MA23_30927,aagb,mapsi,maths4m062,bima_en,model,,,,mogpl,lrc,complex,,
BIM,21316306,mapsi,,,bima_en,mogpl,,,,lrc,algav,mlbda,,
BIM,21400593,aagb,mapsi,maths4m062,lrc,bima_en,,,,algav,mogpl,complex,,
BIM,21405748,aagb,mapsi,maths4m062,mogpl,lrc,,,,model_en,complex,mlbda,,
BIM,21108059,aagb,mapsi,maths4m062,mogpl,bima_en,,,,lrc,mlbda,model,,
BIM,CAND7XL35GT8,aagb,mapsi,maths4m062,bima_en,algav,,,,mogpl,mlbda,complex,,
BIM,21414118,aagb,mapsi,maths4m062,mogpl,complex,,,,bima_en,model,lrc,,
BIM,21401467,aagb,mapsi,maths4m062,bima_en,mlbda,,,,model,mogpl,algav,,
CCA,CANDGJRWAV7C,complex,model,ppar_en,qclg_qk4cs_en,noyau,,,,archi,mapsi,mogpl,,
CCA,21400421,complex,model,ppar_en,archi,mapsi,,,,qclg_qk4cs_en,ares,mlbda,,
CCA,21400515,complex,model,ppar_en,archi,mapsi,,,,noyau,qclg_qk4cs_en,ares,,
CCA,21400099,complex,model,ppar_en,archi,pscr,,,,noyau,qclg_qk4cs_en,ares,,
CCA,21113851,complex,model,ppar_en,qclg_qk4cs_en,mapsi,,,,noyau,archi,mlbda,,
CCA,21411317,complex,model,ppar_en,archi,mapsi,,,,mogpl,ares,qclg_qk4cs_en,,
CCA,21416340,complex,model,ppar_en,archi,noyau,,,,mogpl,mapsi,mlbda,,
CCA,21400033,complex,model,ppar_en,archi,mapsi,,,,mlbda,mogpl,ares,,
CCA,21415339,complex,model,ppar_en,noyau,archi,,,,qclg_qk4cs_en,mapsi,mogpl,,
CCA,21400529,complex,model,ppar_en,archi,mapsi,,,,mogpl,mlbda,ares,,
CCA,21400615,complex,model,ppar_en,archi,noyau,,,,mapsi,qclg_qk4cs_en,mogpl,,
CCA,21200324,complex,model,ppar_en,qclg_qk4cs_en,noyau,,,,archi,ares,mapsi,,
CCA,21417802,complex,model,ppar_en,mlbda,mapsi,,,,archi,qclg_qk4cs_en,noyau,,
CCA,21100552,complex,model,ppar_en,qclg_qk4cs_en,pscr,,,,noyau,archi,ares,,
CCA,21407651,complex,model,ppar_en,archi,noyau,,,,mapsi,mlbda,mogpl,,
CCA,21410685,complex,model,ppar_en,archi,noyau,,,,mapsi,mlbda,mogpl,,
CCA,21309935,complex,model,ppar_en,mogpl,pscr,,,,archi,mlbda,noyau,,
CCA,28602563,complex,ppar_en,,archi,,,,,mogpl,pscr,mlbda,,
CCA,21416202,complex,model,,mlbda,mogpl,noyau,,,ppar_en,pscr,ares,,
CCA,21112838,complex,model,ppar_en,qclg_qk4cs_en,pscr,,,,archi,noyau,mogpl,,
CCA,28726079,complex,model,ppar_en,mapsi,noyau,,,,qclg_qk4cs_en,archi,ares,,
